Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Static Method,"com.google.gson.DefaultDateTypeAdapter.verifyDateType(Class<? extends Date>)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,0,,,,6,,,1,3,0,,,,1,2,0,2,4,1,,,3,,,2,2,4,1,0,,,,,0,,1,0,,,0.00,2,2,4,1
Public Method,"com.google.gson.DefaultDateTypeAdapter.write(JsonWriter,Date)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,0,,,,10,,,2,6,0,,,,4,2,0,4,7,2,,,5,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Class,"com.google.gson.DefaultDateTypeAdapterTest",1,1,1,1,10,0,10,0,1,3,3,0,,1,0,,,,14,0,,,,15,15,0,4,0,11,,176,,,,17,,,,154,,,43,117,5,,,,,,,87,109,42,,,67,,,,,,,,4,4,4,1,,2,1,,0,0,0.03,24,24,24,15
Private Method,"com.google.gson.DefaultDateTypeAdapterTest.assertFormatted(String,DefaultDateTypeAdapter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,"com.google.gson.DefaultDateTypeAdapterTest.assertFormattingAlwaysEmitsUsLocale(Locale)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,,,,0,,,,27,,,6,24,0,,,,7,1,0,17,19,6,,,13,,,4,4,4,1,0,,,,,0,,1,0,,,0.00,4,4,4,1
Private Method,"com.google.gson.DefaultDateTypeAdapterTest.assertParsed(String,DefaultDateTypeAdapter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,0,,,,4,,,1,2,0,,,,3,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.DefaultDateTypeAdapterTest.testDateDeserializationISO8601()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,8,,,2,6,0,,,,2,1,0,6,7,2,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.DefaultDateTypeAdapterTest.testDatePattern()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,1,,,,8,,,6,6,0,,,,4,1,0,6,7,6,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.DefaultDateTypeAdapterTest.testDateSerialization()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,1,,,,8,,,6,6,0,,,,5,1,0,6,7,6,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"com.google.gson.DefaultDateTypeAdapterTest.testFormatUsesDefaultTimezone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,0,,,,15,,,4,12,0,,,,8,1,0,9,11,4,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
